2048
4	8	0	3.785	15.14
4	8	1.8925	5.6775	15.14
2	9	1.8925	3.785	17.0325
3	9	0	5.6775	17.0325
4	8	11.355	3.785	15.14
4	8	13.2475	5.6775	15.14
2	9	13.2475	3.785	17.0325
3	9	11.355	5.6775	17.0325
4	8	0	7.57	15.14
4	8	1.8925	9.4625	15.14
2	9	1.8925	7.57	17.0325
3	9	0	9.4625	17.0325
4	8	11.355	7.57	15.14
4	8	13.2475	9.4625	15.14
2	9	13.2475	7.57	17.0325
3	9	11.355	9.4625	17.0325
4	8	0	11.355	15.14
4	8	1.8925	13.2475	15.14
2	9	1.8925	11.355	17.0325
3	9	0	13.2475	17.0325
4	8	3.785	11.355	15.14
4	8	5.6775	13.2475	15.14
2	9	5.6775	11.355	17.0325
3	9	3.785	13.2475	17.0325
4	8	7.57	11.355	15.14
4	8	9.4625	13.2475	15.14
2	9	9.4625	11.355	17.0325
3	9	7.57	13.2475	17.0325
4	8	11.355	11.355	15.14
4	8	13.2475	13.2475	15.14
2	9	13.2475	11.355	17.0325
3	9	11.355	13.2475	17.0325
4	10	0	0	18.925
4	10	1.8925	1.8925	18.925
2	11	1.8925	0	20.8175
3	11	0	1.8925	20.8175
4	10	3.785	0	18.925
4	10	5.6775	1.8925	18.925
2	11	5.6775	0	20.8175
3	11	3.785	1.8925	20.8175
4	10	7.57	0	18.925
4	10	9.4625	1.8925	18.925
2	11	9.4625	0	20.8175
3	11	7.57	1.8925	20.8175
4	10	11.355	0	18.925
4	10	13.2475	1.8925	18.925
2	11	13.2475	0	20.8175
3	11	11.355	1.8925	20.8175
4	10	0	3.785	18.925
4	10	1.8925	5.6775	18.925
2	11	1.8925	3.785	20.8175
3	11	0	5.6775	20.8175
4	10	11.355	3.785	18.925
4	10	13.2475	5.6775	18.925
2	11	13.2475	3.785	20.8175
3	11	11.355	5.6775	20.8175
4	10	0	7.57	18.925
4	10	1.8925	9.4625	18.925
2	11	1.8925	7.57	20.8175
3	11	0	9.4625	20.8175
4	10	11.355	7.57	18.925
4	10	13.2475	9.4625	18.925
2	11	13.2475	7.57	20.8175
3	11	11.355	9.4625	20.8175
4	10	0	11.355	18.925
4	10	1.8925	13.2475	18.925
2	11	1.8925	11.355	20.8175
3	11	0	13.2475	20.8175
4	10	3.785	11.355	18.925
4	10	5.6775	13.2475	18.925
2	11	5.6775	11.355	20.8175
3	11	3.785	13.2475	20.8175
4	10	7.57	11.355	18.925
4	10	9.4625	13.2475	18.925
2	11	9.4625	11.355	20.8175
3	11	7.57	13.2475	20.8175
4	10	11.355	11.355	18.925
4	10	13.2475	13.2475	18.925
2	11	13.2475	11.355	20.8175
3	11	11.355	13.2475	20.8175
4	12	0	0	22.71
4	12	1.8925	1.8925	22.71
2	13	1.8925	0	24.6025
3	13	0	1.8925	24.6025
4	12	3.785	0	22.71
4	12	5.6775	1.8925	22.71
2	13	5.6775	0	24.6025
3	13	3.785	1.8925	24.6025
4	12	7.57	0	22.71
4	12	9.4625	1.8925	22.71
2	13	9.4625	0	24.6025
3	13	7.57	1.8925	24.6025
4	12	11.355	0	22.71
4	12	13.2475	1.8925	22.71
2	13	13.2475	0	24.6025
3	13	11.355	1.8925	24.6025
4	12	0	3.785	22.71
4	12	1.8925	5.6775	22.71
2	13	1.8925	3.785	24.6025
3	13	0	5.6775	24.6025
4	12	11.355	3.785	22.71
4	12	13.2475	5.6775	22.71
2	13	13.2475	3.785	24.6025
3	13	11.355	5.6775	24.6025
4	12	0	7.57	22.71
4	12	1.8925	9.4625	22.71
2	13	1.8925	7.57	24.6025
3	13	0	9.4625	24.6025
4	12	11.355	7.57	22.71
